CD_GEOCMU6DIG;CD_GEOCMU;NM_MUNICIP;LONG;LAT;POP_MUN;DATA;Casos;Obitos;Letalidade;Prevalencia_casos
290530;2905305;CAFARNAUM;-41,501449;-11,733822;18437;05/06/2020;0;0;NA;0
290540;2905404;CAIRU;-38,983431;-13,50687;18176;05/06/2020;23;1;4,35;126,54
290550;2905503;CALDEIRÃO GRANDE;-40,22183;-11,039859;13327;05/06/2020;6;0;0;45,02
290560;2905602;CAMACAN;-39,518677;-15,444373;31988;05/06/2020;113;1;0,88;353,26
290570;2905701;CAMAÇARI;-38,206303;-12,666005;299132;05/06/2020;343;6;1,75;114,67
290580;2905800;CAMAMU;-39,164186;-14,012552;35316;05/06/2020;9;0;0;25,48
290590;2905909;CAMPO ALEGRE DE LOURDES;-43,174908;-9,551413;28798;05/06/2020;25;0;0;86,81
290600;2906006;CAMPO FORMOSO;-40,728936;-10,251063;71206;05/06/2020;3;0;0;4,21
290610;2906105;CANÁPOLIS;-44,20356;-13,096592;9711;05/06/2020;0;0;NA;0
290620;2906204;CANARANA;-41,699629;-11,752949;26176;05/06/2020;9;0;0;34,38
290630;2906303;CANAVIEIRAS;-39,108826;-15,651539;31099;05/06/2020;31;1;3,23;99,68
290640;2906402;CANDEAL;-39,190758;-11,87112;8258;05/06/2020;1;0;0;12,11
290650;2906501;CANDEIAS;-38,481201;-12,678372;87076;05/06/2020;264;5;1,89;303,18
290660;2906600;CANDIBA;-42,83174;-14,404202;14319;05/06/2020;4;0;0;27,93
290670;2906709;CÂNDIDO SALES;-41,269495;-15,355082;25189;05/06/2020;28;0;0;111,16
290680;2906808;CANSANÇÃO;-39,47272;-10,726929;34834;05/06/2020;17;0;0;48,8
290682;2906824;CANUDOS;-38,991703;-10,064129;16668;05/06/2020;12;0;0;71,99
290685;2906857;CAPELA DO ALTO ALEGRE;-39,824964;-11,672263;11637;05/06/2020;2;0;0;17,19
290687;2906873;CAPIM GROSSO;-39,9959;-11,306288;30662;05/06/2020;30;3;10;97,84
290689;2906899;CARAÍBAS;-41,283716;-14,62557;8951;05/06/2020;3;0;0;33,52
290690;2906907;CARAVELAS;-39,688811;-17,657525;22016;05/06/2020;2;0;0;9,08
290700;2907004;CARDEAL DA SILVA;-37,938426;-12,043037;9295;05/06/2020;6;0;0;64,55
290710;2907103;CARINHANHA;-43,848505;-14,020929;29018;05/06/2020;0;0;NA;0
290720;2907202;CASA NOVA;-41,336482;-9,240251;71969;05/06/2020;27;0;0;37,52
290730;2907301;CASTRO ALVES;-39,363997;-12,731626;26264;05/06/2020;26;1;3,85;98,99
290740;2907400;CATOLÂNDIA;-44,697323;-12,273449;3577;05/06/2020;0;0;NA;0
290750;2907509;CATU;-38,4129;-12,330569;54704;05/06/2020;55;1;1,82;100,54
290755;2907558;CATURAMA;-42,319417;-13,233462;9329;05/06/2020;0;0;NA;0
290760;2907608;CENTRAL;-42,112427;-11,151291;17266;05/06/2020;0;0;NA;0
290770;2907707;CHORROCHÓ;-39,18911;-9,271707;11177;05/06/2020;1;0;0;8,95
290780;2907806;CÍCERO DANTAS;-38,452541;-10,51386;32515;05/06/2020;2;0;0;6,15
290790;2907905;CIPÓ;-38,520942;-11,113238;17300;05/06/2020;2;0;0;11,56
290800;2908002;COARACI;-39,593191;-14,631827;16993;05/06/2020;40;2;5;235,39
290810;2908101;COCOS;-45,219945;-14,496929;18777;05/06/2020;8;0;0;42,61
290820;2908200;CONCEIÇÃO DA FEIRA;-38,99976;-12,504863;22581;05/06/2020;20;0;0;88,57
290830;2908309;CONCEIÇÃO DO ALMEIDA;-39,245601;-12,859902;17247;05/06/2020;5;0;0;28,99
290840;2908408;CONCEIÇÃO DO COITÉ;-39,24982;-11,524123;66612;05/06/2020;25;0;0;37,53
290850;2908507;CONCEIÇÃO DO JACUÍPE;-38,740052;-12,337865;33153;05/06/2020;15;0;0;45,24
290860;2908606;CONDE;-37,677595;-11,827736;25837;05/06/2020;7;1;14,29;27,09
290870;2908705;CONDEÚBA;-42,051037;-14,92144;17247;05/06/2020;11;0;0;63,78
290880;2908804;CONTENDAS DO SINCORÁ;-41,093652;-13,838346;4066;05/06/2020;0;0;NA;0
290890;2908903;CORAÇÃO DE MARIA;-38,783108;-12,210649;22605;05/06/2020;10;0;0;44,24
290900;2909000;CORDEIROS;-41,908245;-15,040971;8614;05/06/2020;0;0;NA;0
290910;2909109;CORIBE;-44,376295;-13,814335;14194;05/06/2020;0;0;NA;0
290920;2909208;CORONEL JOÃO SÁ;-37,959383;-10,264456;15895;05/06/2020;17;0;0;106,95
290930;2909307;CORRENTINA;-45,394992;-13,467029;32137;05/06/2020;5;0;0;15,56
290940;2909406;COTEGIPE;-44,327996;-11,711115;13782;05/06/2020;0;0;NA;0
290950;2909505;CRAVOLÂNDIA;-39,784462;-13,424003;5349;05/06/2020;2;0;0;37,39
290960;2909604;CRISÓPOLIS;-38,172579;-11,518071;21103;05/06/2020;3;0;0;14,22
290970;2909703;CRISTÓPOLIS;-44,258845;-12,193995;13910;05/06/2020;7;0;0;50,32
290980;2909802;CRUZ DAS ALMAS;-39,117912;-12,683035;63239;05/06/2020;30;0;0;47,44
290990;2909901;CURAÇÁ;-39,650984;-9,220987;34700;05/06/2020;34;0;0;97,98
291000;2910008;DÁRIO MEIRA;-39,988006;-14,404981;10710;05/06/2020;12;0;0;112,04
291005;2910057;DIAS D'ÁVILA;-38,282656;-12,601455;81089;05/06/2020;111;4;3,6;136,89
291010;2910107;DOM BASÍLIO;-41,712103;-13,856283;12199;05/06/2020;3;0;0;24,59
291020;2910206;DOM MACEDO COSTA;-39,17396;-12,912355;4058;05/06/2020;0;0;NA;0
291030;2910305;ELÍSIO MEDRADO;-39,526335;-12,934872;8122;05/06/2020;0;0;NA;0
291040;2910404;ENCRUZILHADA;-40,999912;-15,594912;17006;05/06/2020;19;0;0;111,73
291050;2910503;ENTRE RIOS;-38,048376;-12,063435;41780;05/06/2020;24;0;0;57,44
291060;2910602;ESPLANADA;-37,88534;-11,931246;37237;05/06/2020;2;0;0;5,37
291070;2910701;EUCLIDES DA CUNHA;-38,915095;-10,466805;60585;05/06/2020;8;0;0;13,2
291072;2910727;EUNÁPOLIS;-39,606119;-16,298752;113380;05/06/2020;190;2;1,05;167,58
291075;2910750;FÁTIMA;-38,201348;-10,593623;17890;05/06/2020;2;0;0;11,18
291077;2910776;FEIRA DA MATA;-44,232219;-14,13174;5665;05/06/2020;0;0;NA;0
291080;2910800;FEIRA DE SANTANA;-39,03399;-12,193076;614872;05/06/2020;719;6;0,83;116,93
291085;2910859;FILADÉLFIA;-40,136915;-10,72321;16377;05/06/2020;2;1;50;12,21
291090;2910909;FIRMINO ALVES;-39,911313;-14,93082;5617;05/06/2020;1;0;0;17,8
291100;2911006;FLORESTA AZUL;-39,71747;-14,841852;10629;05/06/2020;8;0;0;75,27
291110;2911105;FORMOSA DO RIO PRETO;-45,755647;-11,016713;25591;05/06/2020;6;0;0;23,45
291120;2911204;GANDU;-39,482691;-13,788685;32403;05/06/2020;57;1;1,75;175,91
291125;2911253;GAVIÃO;-39,75734;-11,508884;4463;05/06/2020;0;0;NA;0
291130;2911303;GENTIO DO OURO;-42,605208;-11,410248;11233;05/06/2020;0;0;NA;0
291140;2911402;GLÓRIA;-38,444762;-9,229366;15221;05/06/2020;5;0;0;32,85
291150;2911501;GONGOGI;-39,5819;-14,280589;7128;05/06/2020;14;2;14,29;196,41
291160;2911600;GOVERNADOR MANGABEIRA;-39,072351;-12,583363;20722;05/06/2020;4;1;25;19,3
291165;2911659;GUAJERU;-41,986432;-14,558969;6937;05/06/2020;0;0;NA;0
291170;2911709;GUANAMBI;-42,820036;-14,203957;84481;05/06/2020;44;0;0;52,08
291180;2911808;GUARATINGA;-39,937689;-16,553191;20843;05/06/2020;2;0;0;9,6
291185;2911857;HELIÓPOLIS;-38,314226;-10,746774;13031;05/06/2020;0;0;NA;0
291190;2911907;IAÇU;-40,113094;-12,813534;24305;05/06/2020;21;3;14,29;86,4
291200;2912004;IBIASSUCÊ;-42,305379;-14,291531;9224;05/06/2020;0;0;NA;0
291210;2912103;IBICARAÍ;-39,568453;-14,848768;21689;05/06/2020;24;0;0;110,66
291220;2912202;IBICOARA;-41,327893;-13,380991;19571;05/06/2020;0;0;NA;0
291230;2912301;IBICUÍ;-39,863785;-14,641894;16198;05/06/2020;4;0;0;24,69
291240;2912400;IBIPEBA;-42,18177;-11,570748;18211;05/06/2020;5;0;0;27,46
291250;2912509;IBIPITANGA;-42,359693;-12,859347;14902;05/06/2020;4;0;0;26,84
291260;2912608;IBIQUERA;-40,884782;-12,603191;4044;05/06/2020;0;0;NA;0
291270;2912707;IBIRAPITANGA;-39,435696;-14,060704;23375;05/06/2020;16;1;6,25;68,45
291280;2912806;IBIRAPUÃ;-40,012795;-17,743014;8637;05/06/2020;22;1;4,55;254,72
291290;2912905;IBIRATAIA;-39,626167;-13,975981;15312;05/06/2020;26;1;3,85;169,8
291300;2913002;IBITIARA;-42,282694;-12,575885;16339;05/06/2020;3;1;33,33;18,36
291310;2913101;IBITITÁ;-41,915125;-11,579049;17113;05/06/2020;0;0;NA;0
291320;2913200;IBOTIRAMA;-43,204764;-12,038551;26927;05/06/2020;1;0;0;3,71
291330;2913309;ICHU;-39,152341;-11,731511;6206;05/06/2020;0;0;NA;0
291340;2913408;IGAPORÃ;-42,704146;-13,863066;15640;05/06/2020;0;0;NA;0
291345;2913457;IGRAPIÚNA;-39,205528;-13,870951;13226;05/06/2020;6;0;0;45,37
291350;2913507;IGUAÍ;-40,06587;-14,632365;26916;05/06/2020;5;0;0;18,58
291360;2913606;ILHÉUS;-39,191802;-14,752743;162327;05/06/2020;722;33;4,57;444,78
291370;2913705;INHAMBUPE;-38,403839;-11,805114;39926;05/06/2020;3;0;0;7,51
291380;2913804;IPECAETÁ;-39,326986;-12,307419;14487;05/06/2020;3;0;0;20,71
291390;2913903;IPIAÚ;-39,726505;-14,054873;45873;05/06/2020;329;7;2,13;717,2
291400;2914000;IPIRÁ;-39,777143;-12,211242;59595;05/06/2020;19;1;5,26;31,88
291410;2914109;IPUPIARA;-42,501843;-11,835873;9865;05/06/2020;0;0;NA;0
291420;2914208;IRAJUBA;-40,052295;-13,230719;7260;05/06/2020;0;0;NA;0
291430;2914307;IRAMAIA;-40,920822;-13,468639;8537;05/06/2020;1;0;0;11,71
291440;2914406;IRAQUARA;-41,583095;-12,248341;25216;05/06/2020;0;0;NA;0
291450;2914505;IRARÁ;-38,753895;-12,046429;29034;05/06/2020;5;0;0;17,22
291460;2914604;IRECÊ;-41,838969;-11,309449;72967;05/06/2020;20;0;0;27,41
291465;2914653;ITABELA;-39,551337;-16,662903;30584;05/06/2020;16;0;0;52,31
291470;2914703;ITABERABA;-40,262264;-12,499097;64489;05/06/2020;49;1;2,04;75,98
291480;2914802;ITABUNA;-39,312807;-14,851648;213223;05/06/2020;1101;33;3;516,36
291490;2914901;ITACARÉ;-39,157795;-14,362094;28296;05/06/2020;32;2;6,25;113,09
291500;2915007;ITAETÉ;-41,040418;-13,091757;16056;05/06/2020;35;0;0;217,99
291510;2915106;ITAGI;-40,024851;-14,162264;12351;05/06/2020;9;0;0;72,87
291520;2915205;ITAGIBÁ;-39,830454;-14,252567;14579;05/06/2020;26;1;3,85;178,34
291530;2915304;ITAGIMIRIM;-39,737985;-16,096336;6869;05/06/2020;0;0;NA;0
291535;2915353;ITAGUAÇU DA BAHIA;-42,238987;-10,769724;14429;05/06/2020;0;0;NA;0
291540;2915403;ITAJU DO COLÔNIA;-39,731652;-15,148336;6682;05/06/2020;0;0;NA;0
291550;2915502;ITAJUÍPE;-39,4449;-14,671518;20491;05/06/2020;136;1;0,74;663,71
291560;2915601;ITAMARAJU;-39,764796;-17,008757;64486;05/06/2020;190;2;1,05;294,64
291570;2915700;ITAMARI;-39,667054;-13,766584;8035;05/06/2020;0;0;NA;0
291580;2915809;ITAMBÉ;-40,462594;-15,158114;23049;05/06/2020;0;0;NA;0
291590;2915908;ITANAGRA;-38,042503;-12,31533;6441;05/06/2020;6;1;16,67;93,15
